circuit_code,hour,scen,flow
1,1,1,0.06611087941538271
1,1,2,0.06611088059682316
1,1,3,0.06611087941354941
1,1,4,0.06611087941532176
1,1,5,0.06611087941532211
1,1,6,0.06611087963201144
1,1,7,0.06611087941537665
1,1,8,0.06848432923119287
1,1,9,0.0661108796318969
1,1,10,0.06611087941552724
1,2,1,0.06611087946229996
1,2,2,0.0661108805042444
1,2,3,0.06611087945331139
1,2,4,0.06611087945592563
1,2,5,0.06611087945292211
1,2,6,0.06611087945374303
1,2,7,0.06611087945529064
1,2,8,0.06871825560980466
1,2,9,0.06611087945241502
1,2,10,0.06611087946233328
1,3,1,0.06611087945165132
1,3,2,0.06611088032068489
1,3,3,0.06611087945159086
1,3,4,0.06611087944984256
1,3,5,0.06611087947382943
1,3,6,0.06611087945161953
1,3,7,0.0661108794736182
1,3,8,0.06883220861712658
1,3,9,0.06611087944982813
1,3,10,0.06611087948964861
1,4,1,0.06611087945453169
1,4,2,0.06611088047247105
1,4,3,0.06611087945323255
1,4,4,0.06611087945340183
1,4,5,0.06611087945534712
1,4,6,0.06611087945364212
1,4,7,0.0661108794519436
1,4,8,0.06874545563163362
1,4,9,0.06611087945233066
1,4,10,0.06611087948163719
1,5,1,0.06611087942479707
1,5,2,0.06611087942469755
1,5,3,0.06611087942471786
1,5,4,0.06611087942469579
1,5,5,0.06611087963627156
1,5,6,0.06611087942477344
1,5,7,0.06611087962669165
1,5,8,0.06906829918918475
1,5,9,0.06611087942471411
1,5,10,0.06611088017397371
1,6,1,0.06611087944034807
1,6,2,0.06611087955958905
1,6,3,0.06611087946065711
1,6,4,0.06611087944781355
1,6,5,0.06611087947529158
1,6,6,0.06611087945414225
1,6,7,0.06611087944908053
1,6,8,0.06901596496588328
1,6,9,0.06611087945152423
1,6,10,0.0661108800982381
1,7,1,0.0661108793623225
1,7,2,0.0661108793620929
1,7,3,0.06611088080724677
1,7,4,0.06611088080593872
1,7,5,0.0666788213181179
1,7,6,0.06611087936205969
1,7,7,0.06611087936324007
1,7,8,0.06611087905696056
1,7,9,0.06611087936030129
1,7,10,0.06611087991284484
1,8,1,0.06611087943510309
1,8,2,0.0661108795135691
1,8,3,0.06611087946739302
1,8,4,0.06611087946585036
1,8,5,0.06611087948525007
1,8,6,0.06611087943307047
1,8,7,0.06611087945901856
1,8,8,0.07169433357260926
1,8,9,0.0661108794302369
1,8,10,0.06611088033349577
1,9,1,0.06611088152258313
1,9,2,0.06611087942841554
1,9,3,0.06611087957271373
1,9,4,0.066110879546611
1,9,5,0.06611087941845072
1,9,6,0.0661108794183752
1,9,7,0.06642384336979322
1,9,8,0.06611087907794419
1,9,9,0.066110879418419
1,9,10,0.06611087941843705
1,10,1,0.06611087949866161
1,10,2,0.06611087955909745
1,10,3,0.06611087957257834
1,10,4,0.06611087955167252
1,10,5,0.06611087955276083
1,10,6,0.06611087955194118
1,10,7,0.06611087959348198
1,10,8,0.0661108791933682
1,10,9,0.06611087955205128
1,10,10,0.06611087961113978
1,11,1,0.0661108795581972
1,11,2,0.06611087955054681
1,11,3,0.06611087954887279
1,11,4,0.06611087955980269
1,11,5,0.06611087955057803
1,11,6,0.06611087955057
1,11,7,0.06611087958386622
1,11,8,0.06611087965987607
1,11,9,0.06611087954886036
1,11,10,0.06611087960906292
1,12,1,0.06611087956363666
1,12,2,0.06611087956364535
1,12,3,0.06611087956373053
1,12,4,0.06611087956608769
1,12,5,0.06611087956371538
1,12,6,0.0661108795637132
1,12,7,0.0661108795698975
1,12,8,0.06611087960273268
1,12,9,0.06611087956363003
1,12,10,0.06611087957165086
1,13,1,0.06611087956369047
1,13,2,0.06611087956576085
1,13,3,0.06611087956538786
1,13,4,0.06611087956369105
1,13,5,0.06611087956537393
1,13,6,0.06611087956368553
1,13,7,0.06611087956370705
1,13,8,0.06611087962017982
1,13,9,0.06611087956571098
1,13,10,0.06611087956538837
1,14,1,0.06611087956330745
1,14,2,0.06611087957084752
1,14,3,0.06611087956330838
1,14,4,0.06611087956488057
1,14,5,0.06611087955860846
1,14,6,0.06611087955861067
1,14,7,0.06611087956640296
1,14,8,0.06611087962860636
1,14,9,0.06611087956031024
1,14,10,0.0661108795610685
1,15,1,0.06611087951399552
1,15,2,0.06611087951399452
1,15,3,0.06611087951398589
1,15,4,0.06611087951398488
1,15,5,0.06611087951224917
1,15,6,0.066110879512219
1,15,7,0.06611087956263054
1,15,8,0.06611088145705062
1,15,9,0.06611087951398197
1,15,10,0.06611087951402736
1,16,1,0.06611087951531566
1,16,2,0.06611088019800752
1,16,3,0.06611087951574683
1,16,4,0.06611087953238215
1,16,5,0.06611087951780684
1,16,6,0.0661108794499118
1,16,7,0.06611087953081464
1,16,8,0.06611087918783852
1,16,9,0.06611087953125454
1,16,10,0.06611087957231324
1,17,1,0.06611087929600437
1,17,2,0.06742291666812496
1,17,3,0.06611087929700997
1,17,4,0.06753459161980795
1,17,5,0.06611088001003294
1,17,6,0.06611087929631092
1,17,7,0.06611087929598852
1,17,8,0.06611087903454319
1,17,9,0.06740446308413683
1,17,10,0.06611087953178874
1,18,1,0.06611087929528024
1,18,2,0.06732601353782551
1,18,3,0.06611087933215314
1,18,4,0.06611087925319419
1,18,5,0.06611087929881429
1,18,6,0.06611087929820715
1,18,7,0.06640364118344072
1,18,8,0.06810893346908768
1,18,9,0.06611087930255566
1,18,10,0.06611093588075952
1,19,1,0.08246312468990336
1,19,2,0.06731543329419919
1,19,3,0.06611087932742403
1,19,4,0.08245435448742924
1,19,5,0.06611087916881248
1,19,6,0.0661108790786321
1,19,7,0.06640306580206878
1,19,8,0.06611087903832907
1,19,9,0.06611087929375069
1,19,10,0.06669555401495401
1,20,1,0.06611087913156166
1,20,2,0.06736081122006564
1,20,3,0.0661108793475519
1,20,4,0.06611087912114542
1,20,5,0.06611087933108627
1,20,6,0.06734732057896976
1,20,7,0.06643008497749935
1,20,8,0.07068198511073588
1,20,9,0.06611087931047185
1,20,10,0.06674021686613701
1,21,1,0.08247104093544047
1,21,2,0.06611087912983517
1,21,3,0.06611087922185059
1,21,4,0.06611087910569603
1,21,5,0.08288634022418871
1,21,6,0.06611087925891244
1,21,7,0.08289522094424197
1,21,8,0.0706297423639976
1,21,9,0.0661108791950714
1,21,10,0.08292413694385752
1,22,1,0.06611087929403921
1,22,2,0.06816565351188841
1,22,3,0.06611087971705339
1,22,4,0.06611087932049926
1,22,5,0.06611087933833219
1,22,6,0.06611087940892056
1,22,7,0.06611087935480343
1,22,8,0.07064486406250378
1,22,9,0.06611087930223844
1,22,10,0.06706556563675231
1,23,1,0.06611087927750184
1,23,2,0.06611087904175314
1,23,3,0.06611087991184614
1,23,4,0.06611087927787487
1,23,5,0.06611087969921926
1,23,6,0.06611087933467821
1,23,7,0.0662365731107645
1,23,8,0.07047974584328505
1,23,9,0.06611087927750535
1,23,10,0.06706439879279188
1,24,1,0.06611087936087139
1,24,2,0.06611087909263873
1,24,3,0.06611087936155118
1,24,4,0.06611087936068763
1,24,5,0.06611087940242029
1,24,6,0.06611087936159117
1,24,7,0.06622655530918002
1,24,8,0.06950347555392586
1,24,9,0.06611087936097518
1,24,10,0.06611089235728346
2,1,1,0.08770299446853716
2,1,2,0.0877029991962588
2,1,3,0.08770299446415347
2,1,4,0.08770299446596724
2,1,5,0.08770299446596112
2,1,6,0.08770299533466362
2,1,7,0.08770299447028022
2,1,8,0.0961419314783935
2,1,9,0.08770299534472067
2,1,10,0.08770299447488933
2,2,1,0.08770299465983573
2,2,2,0.08770299887124497
2,2,3,0.08770299461990859
2,2,4,0.0877029946301575
2,2,5,0.08770299461841677
2,2,6,0.08770299462599816
2,2,7,0.08770299462769222
2,2,8,0.09698602535031214
2,2,9,0.08770299461638853
2,2,10,0.0877029946644572
2,3,1,0.08770299460978376
2,3,2,0.08770299804257985
2,3,3,0.08770299460967941
2,3,4,0.08770299460790507
2,3,5,0.0877029947061672
2,3,6,0.08770299460972605
2,3,7,0.0877029947052804
2,3,8,0.09739296133788025
2,3,9,0.08770299460788276
2,3,10,0.08770299477782349
2,4,1,0.0877029946247234
2,4,2,0.08770299864226559
2,4,3,0.08770299462151598
2,4,4,0.08770299462214397
2,4,5,0.08770299462788525
2,4,6,0.08770299462123934
2,4,7,0.08770299461875691
2,4,8,0.09708384640662314
2,4,9,0.0877029946179691
2,4,10,0.08770299474122105
2,5,1,0.08770299450770377
2,5,2,0.08770299450325614
2,5,3,0.08770299450330253
2,5,4,0.08770299450325518
2,5,5,0.0877029953509062
2,5,6,0.08770299450339726
2,5,7,0.08770299532411752
2,5,8,0.09824202971630906
2,5,9,0.08770299450328763
2,5,10,0.08770299748818082
2,6,1,0.08770299457205274
2,6,2,0.08770299505228767
2,6,3,0.08770299464927682
2,6,4,0.08770299459823652
2,6,5,0.0877029947070627
2,6,6,0.08770299462331535
2,6,7,0.08770299461187606
2,6,8,0.09806003265567496
2,6,9,0.08770299460938888
2,6,10,0.0877029972006436
2,7,1,0.08770299426334748
2,7,2,0.08770299425528048
2,7,3,0.08770299999688533
2,7,4,0.08770299999167623
2,7,5,0.08968165516483424
2,7,6,0.08770299425522271
2,7,7,0.08770299426687225
2,7,8,0.08770299334733099
2,7,9,0.08770299425166184
2,7,10,0.08770299643728509
2,8,1,0.08770299454789571
2,8,2,0.08770299486442903
2,8,3,0.08770299467596748
2,8,4,0.08770299466992121
2,8,5,0.08770299474647658
2,8,6,0.08770299453987802
