circuit_code,hour,scen,losses
1,1,1,0.00011087948951188732
1,1,2,0.00011088066097590442
1,1,3,0.00011087948942249452
1,1,4,0.00011087948945215305
1,1,5,0.00011087948944990436
1,1,6,0.00011087970162538299
1,1,7,0.00011087948950778495
1,1,8,0.0024843292932446998
1,1,9,0.00011087970152313936
1,1,10,0.00011087948965976722
1,2,1,0.00011087953677243483
1,2,2,0.00011088057006210277
1,2,3,0.00011087952807516475
1,2,4,0.00011087953056306937
1,2,5,0.00011087952769447107
1,2,6,0.00011087952849243277
1,2,7,0.00011087952999777044
1,2,8,0.0027182556718597186
1,2,9,0.00011087952720406235
1,2,10,0.00011087953684914278
1,3,1,0.00011087952473200144
1,3,2,0.00011088038709793297
1,3,3,0.00011087952467279964
1,3,4,0.00011087952464153255
1,3,5,0.00011087954637581401
1,3,6,0.00011087952469937329
1,3,7,0.00011087954617145989
1,3,8,0.0028322086777414616
1,3,9,0.00011087952462889306
1,3,10,0.00011087956182393821
1,4,1,0.00011087952926283512
1,4,2,0.00011088053843840204
1,4,3,0.00011087952799833248
1,4,4,0.00011087952816327139
1,4,5,0.0001108795300502832
1,4,6,0.00011087952839770194
1,4,7,0.00011087952673797032
1,4,8,0.0027454556936899674
1,4,9,0.00011087952711886625
1,4,10,0.00011087955567004725
1,5,1,0.00011087949864023427
1,5,2,0.00011087949853834223
1,5,3,0.00011087949856104148
1,5,4,0.00011087949853884789
1,5,5,0.00011087970583448954
1,5,6,0.00011087949861474195
1,5,7,0.00011087969638217548
1,5,8,0.003068299249797218
1,5,9,0.00011087949855498764
1,5,10,0.00011088023943862001
1,6,1,0.00011087951373904372
1,6,2,0.00011087963200508219
1,6,3,0.00011087953522770544
1,6,4,0.00011087952272927639
1,6,5,0.00011087954948087103
1,6,6,0.00011087952888510266
1,6,7,0.00011087952395007856
1,6,8,0.003015965027938644
1,6,9,0.00011087952460548723
1,6,10,0.00011088016553429417
1,7,1,0.00011087943833777434
1,7,2,0.00011087943811078008
1,7,3,0.00011088087102474847
1,7,4,0.00011088086971858202
1,7,5,0.0006788213787343337
1,7,6,0.00011087943807471873
1,7,7,0.00011087943922684509
1,7,8,0.00011087913297852094
1,7,9,0.00011087943811101426
1,7,10,0.00011087998125954037
1,8,1,0.0001108795103648076
1,8,2,0.0001108795851952311
1,8,3,0.00011087954177711356
1,8,4,0.00011087954027436495
1,8,5,0.00011087955915355205
1,8,6,0.00011087950839526337
1,8,7,0.00011087953191357997
1,8,8,0.005694333634659014
1,8,9,0.00011087950391465856
1,8,10,0.00011088039986645926
1,9,1,0.00011088158549032884
1,9,2,0.00011087950216463662
1,9,3,0.00011087964326285674
1,9,4,0.00011087961771424502
1,9,5,0.00011087949248370527
1,9,6,0.00011087949241128142
1,9,7,0.00042384343041095663
1,9,8,0.00011087915197966568
1,9,9,0.00011087949245395613
1,9,10,0.0001108794924697577
1,10,1,0.00011087957060391951
1,10,2,0.00011087963146905616
1,10,3,0.00011087964461690344
1,10,4,0.00011087962415898851
1,10,5,0.00011087962524901571
1,10,6,0.00011087962445076697
1,10,7,0.00011087966364056914
1,10,8,0.00011087926238180458
1,10,9,0.00011087962455301112
1,10,10,0.0001108796826450939
1,11,1,0.00011087962897410882
1,11,2,0.00011087962143978047
1,11,3,0.00011087962143516367
1,11,4,0.0001108796305519241
1,11,5,0.00011087962147242598
1,11,6,0.00011087962146372424
1,11,7,0.00011087965420343872
1,11,8,0.00011087972905629429
1,11,9,0.00011087962142243682
1,11,10,0.00011087967907314152
1,12,1,0.00011087963592850212
1,12,2,0.00011087963593210275
1,12,3,0.00011087963601942068
1,12,4,0.0001108796367021779
1,12,5,0.00011087963601015086
1,12,6,0.00011087963600693399
1,12,7,0.00011087964207637015
1,12,8,0.00011087967274636211
1,12,9,0.00011087963592322707
1,12,10,0.00011087964379955012
1,13,1,0.00011087963598235972
1,13,2,0.00011087963640668727
1,13,3,0.00011087963601526105
1,13,4,0.00011087963598132193
1,13,5,0.00011087963600108262
1,13,6,0.00011087963597433918
1,13,7,0.00011087963599378108
1,13,8,0.00011087968995521069
1,13,9,0.00011087963635631352
1,13,10,0.00011087963601363078
1,14,1,0.00011087963560744797
1,14,2,0.00011087964300958325
1,14,3,0.00011087963560831737
1,14,4,0.00011087963715608932
1,14,5,0.000110879630990661
1,14,6,0.00011087963099069822
1,14,7,0.00011087963864339813
1,14,8,0.00011087969824321968
1,14,9,0.0001108796310224872
1,14,10,0.00011087963340863627
1,15,1,0.00011087958560430601
1,15,2,0.00011087958560373433
1,15,3,0.00011087958559898774
1,15,4,0.0001108795855952093
1,15,5,0.0001108795855445542
1,15,6,0.00011087958551039414
1,15,7,0.00011087963333828
1,15,8,0.00011088151996541995
1,15,9,0.00011087958559288299
1,15,10,0.00011087958563290673
1,16,1,0.00011087958854092705
1,16,2,0.00011088026486167922
1,16,3,0.00011087958896737237
1,16,4,0.00011087960526145229
1,16,5,0.00011087959098187006
1,16,6,0.00011087952475667523
1,16,7,0.0001108796020798471
1,16,8,0.00011087925671260647
1,16,9,0.00011087960415795163
1,16,10,0.00011087964446195218
1,17,1,0.00011087937520257252
1,17,2,0.0014229167287401526
1,17,3,0.00011087937623003159
1,17,4,0.0015345916804220038
1,17,5,0.00011088007629460873
1,17,6,0.00011087937551164865
1,17,7,0.0001108793751844394
1,17,8,0.00011087911374402049
1,17,9,0.0014044631447516546
1,17,10,0.00011087960304309627
1,18,1,0.00011087937634391856
1,18,2,0.0013260135998857583
1,18,3,0.0001108794096132837
1,18,4,0.00011087933704997736
1,18,5,0.00011087937787538724
1,18,6,0.00011087937910649039
1,18,7,0.00040364124556555546
1,18,8,0.0021089335311462207
1,18,9,0.00011087938322951525
1,18,10,0.00011093594297172345
1,19,1,0.016463124750520336
1,19,2,0.0013154333562592113
1,19,3,0.00011087940509669789
1,19,4,0.016454354548045756
1,19,5,0.00011087926882765777
1,19,6,0.00011087918455570724
1,19,7,0.00040306586413845917
1,19,8,0.00011087911829440791
1,19,9,0.00011087937312811449
1,19,10,0.00069555407702248
1,20,1,0.00011087922814110144
1,20,2,0.0013608112821917506
1,20,3,0.00011087942429206597
1,20,4,0.00011087922168319838
1,20,5,0.00011087941025839706
1,20,6,0.0013473206410341003
1,20,7,0.000430085039576201
1,20,8,0.004681985172842691
1,20,9,0.00011087938891329395
1,20,10,0.0007402169282730628
1,21,1,0.016471040996060168
1,21,2,0.00011087920332455479
1,21,3,0.00011087930676653315
1,21,4,0.0001108792076463357
1,21,5,0.016886340284800336
1,21,6,0.00011087933997663786
1,21,7,0.016895221004858033
1,21,8,0.0046297424260523835
1,21,9,0.00011087928291502263
1,21,10,0.016924137004473164
1,22,1,0.00011087937336687909
1,22,2,0.0021656535739958535
1,22,3,0.00011087978712220492
1,22,4,0.00011087939839468602
1,22,5,0.00011087941537474444
1,22,6,0.00011087948503078816
1,22,7,0.00011087943113702982
1,22,8,0.004644864124553146
1,22,9,0.00011087938137462554
1,22,10,0.0010655656988835113
1,23,1,0.00011087935781566842
1,23,2,0.00011087912207040301
1,23,3,0.00011087997838955218
1,23,4,0.00011087935819202448
1,23,5,0.00011087976832263596
1,23,6,0.00011087941195006478
1,23,7,0.00023657317137262747
1,23,8,0.0044797459039011885
1,23,9,0.00011087935782225407
1,23,10,0.0010643988534055479
1,24,1,0.00011087943870823672
1,24,2,0.00011087916865749137
1,24,3,0.00011087943937300756
1,24,4,0.0001108794385293693
1,24,5,0.00011087947697188128
1,24,6,0.00011087943941185444
1,24,7,0.00022655537130285977
1,24,8,0.0035034756159784716
1,24,9,0.00011087943880692037
1,24,10,0.00011089241961821449
2,1,1,0.00027876727665828723
2,1,2,0.0002787684680854746
2,1,3,0.00027876727238808184
2,1,4,0.00027876727242120893
2,1,5,0.0002787672724203471
2,1,6,0.00027876749255467215
2,1,7,0.0002787672766630786
2,1,8,0.0026139184106663558
2,1,9,0.00027876749251252715
2,1,10,0.0002787672768507575
2,2,1,0.00027876732476129633
2,2,2,0.00027876837713198166
2,2,3,0.00027876731141814444
2,2,4,0.00027876731393025497
2,2,5,0.0002787673110417164
2,2,6,0.00027876731633718455
2,2,7,0.0002787673133502348
2,2,8,0.002850138481301825
2,2,9,0.00027876731054237553
2,2,10,0.0002787673248831753
2,3,1,0.00027876730804156477
2,3,2,0.0002787681676034337
2,3,3,0.0002787673080072668
2,3,4,0.0002787673079827962
2,3,5,0.00027876733458418774
2,3,6,0.00027876730802217067
2,3,7,0.00027876733437327947
2,3,8,0.002965174402170417
2,3,9,0.00027876730797533276
2,3,10,0.0002787673503700718
2,4,1,0.00027876731261340784
2,4,2,0.00027876831919410754
2,4,3,0.0002787673113768692
2,4,4,0.00027876731153561195
2,4,5,0.0002787673133955184
2,4,6,0.0002787673117471022
2,4,7,0.0002787673145450079
2,4,8,0.002877721037532314
2,4,9,0.00027876731049542844
2,4,10,0.000278767344044136
2,5,1,0.0002787672859594302
2,5,2,0.000278767281633615
2,5,3,0.000278767281646858
2,5,4,0.00027876728163402493
2,5,5,0.00027876749684161296
2,5,6,0.0002787672816774439
2,5,7,0.00027876748730406176
2,5,8,0.003202705560737668
2,5,9,0.000278767281643203
2,5,10,0.00027876803923469436
2,6,1,0.0002787673013826392
2,6,2,0.0002787674217191787
2,6,3,0.00027876731870103927
2,6,4,0.00027876730603686596
2,6,5,0.00027876733306431096
2,6,6,0.0002787673122608463
2,6,7,0.0002787673117580742
2,6,8,0.003150887300884129
2,6,9,0.0002787673079367055
2,6,10,0.0002787679645359387
2,7,1,0.00027876722459676715
2,7,2,0.00027876722059586896
2,7,3,0.000278768680467224
2,7,4,0.0002787686791410365
2,7,5,0.0008094403445696594
2,7,6,0.0002787672205747828
2,7,7,0.00027876722551492723
2,7,8,0.00027876691512169723
2,7,9,0.000278767220564771
2,7,10,0.00027876776851212733
2,8,1,0.0002787672935538718
2,8,2,0.0002787673740854487
2,8,3,0.0002787673253208781
2,8,4,0.0002787673238135582
2,8,5,0.00027876734285028367
2,8,6,0.00027876729156699605
2,8,7,0.00027876731987140836
2,8,8,0.005847596190457329
2,8,9,0.00027876729132121636
2,8,10,0.0002787682027576148
2,9,1,0.0002787693772004748
2,9,2,0.00027876728958204896
2,9,3,0.00027876743326682966
2,9,4,0.000278767407227577
2,9,5,0.00027876727547817296
2,9,6,0.000278767275438958
2,9,7,0.0005631287955210336
2,9,8,0.0002787669344062416
2,9,9,0.000278767275451171
2,9,10,0.00027876727545858137
2,10,1,0.0002787673592350528
2,10,2,0.0002787674157867562
2,10,3,0.0002787674347911046
2,10,4,0.0002787674079023133
2,10,5,0.00027876740948843423
2,10,6,0.0002787674086901087
2,10,7,0.0002787674483377126
2,10,8,0.0002787670397346467
2,10,9,0.00027876740888376725
2,10,10,0.0002787674675076759
2,11,1,0.00027876741862277855
2,11,2,0.00027876740568505865
2,11,3,0.0002787674056488864
2,11,4,0.0002787674202262056
2,11,5,0.0002787674056910808
2,11,6,0.00027876740568631903
2,11,7,0.0002787674442963141
2,11,8,0.00027876752046900543
2,11,9,0.0002787674056422962
2,11,10,0.00027876746953692694
2,12,1,0.00027876742032117166
2,12,2,0.0002787674203341668
2,12,3,0.00027876742034987613
2,12,4,0.00027876742109633247
2,12,5,0.0002787674203457317
2,12,6,0.0002787674203444544
2,12,7,0.00027876742651092025
2,12,8,0.00027876745753432344
2,12,9,0.00027876742031854757
2,12,10,0.0002787674282865088
2,13,1,0.0002787674203287415
2,13,2,0.00027876742618268286
2,13,3,0.0002787674203708785
2,13,4,0.00027876742032765476
2,13,5,0.0002787674203635335
2,13,6,0.00027876742032422575
2,13,7,0.00027876742033474425
2,13,8,0.00027876748065408475
2,13,9,0.0002787674261312596
2,13,10,0.00027876742036945834
2,14,1,0.0002787674199425107
2,14,2,0.0002787674274158071
2,14,3,0.0002787674199419386
2,14,4,0.0002787674215142596
2,14,5,0.0002787674153453034
2,14,6,0.00027876741534539796
2,14,7,0.0002787674230571924
2,14,8,0.0002787674832395881
2,14,9,0.0002787674153663932
2,14,10,0.0002787674177873035
2,15,1,0.00027876736950051815
2,15,2,0.000278767369500444
2,15,3,0.000278767369496967
2,15,4,0.0002787673694950852
2,15,5,0.0002787673694466013
2,15,6,0.00027876736945145356
2,15,7,0.0002787674231640261
2,15,8,0.00027876929934176546
2,15,9,0.00027876736949376585
2,15,10,0.00027876736950016844
2,16,1,0.00027876737248657194
2,16,2,0.0002787680458141464
2,16,3,0.00027876737289056323
2,16,4,0.0002787673894067291
