bus_code,hour,scen,powerBat
1,1,1,-0.16718447978867776
1,1,2,0.031799849581449935
1,1,3,-0.1672956828829359
1,1,4,-0.08262184262363191
1,1,5,-0.08251684658949839
1,1,6,-0.0951428668083619
1,1,7,0.03179994459230807
1,1,8,-0.17315695616887605
1,1,9,-0.16711278631826276
1,1,10,-0.17806890543846832
1,2,1,0.009427757353309859
1,2,2,-0.05298653728996596
1,2,3,0.004877879680127588
1,2,4,-0.017420234573029564
1,2,5,-0.016409038518654273
1,2,6,-0.03278857276336222
1,2,7,-0.0016454086194144302
1,2,8,0.014164581105308709
1,2,9,0.12652452723887891
1,2,10,-0.014822744918015652
1,3,1,-0.04879868587442619
1,3,2,0.04330343039524192
1,3,3,-0.04884161294068993
1,3,4,-0.05864671011889215
1,3,5,-0.013623091727148552
1,3,6,-0.026044045162486845
1,3,7,0.0016449772616759922
1,3,8,0.008916910762190505
1,3,9,-0.04867421617600173
1,3,10,-0.06594249319384432
1,4,1,-0.030429345489578513
1,4,2,0.0056130187746737704
1,4,3,0.018309502778185962
1,4,4,0.002755379387127262
1,4,5,-0.003668174937813994
1,4,6,-0.011563009838651347
1,4,7,-0.029580064569515348
1,4,8,-0.0035338066663976302
1,4,9,-0.030261653645905395
1,4,10,0.007794519633132066
1,5,1,0.02109862428856984
1,5,2,0.004069846472044556
1,5,3,0.01676253129051095
1,5,4,0.0048101847458375275
1,5,5,-0.005052604332274446
1,5,6,-0.014776482845813992
1,5,7,-0.032261028989476144
1,5,8,-0.004038753868229092
1,5,9,-0.004354002020279752
1,5,10,-0.04834022267763911
1,6,1,-0.014309658837936487
1,6,2,-0.013314037590990244
1,6,3,0.027671639597069725
1,6,4,-0.019982582170126627
1,6,5,0.006980192670947565
1,6,6,0.007180922200850427
1,6,7,0.0010565170912725302
1,6,8,-0.020935211982156258
1,6,9,0.006461466363977315
1,6,10,-0.023693859065127196
1,7,1,0.033789810268546355
1,7,2,-0.009825265878078677
1,7,3,-0.010712800745862769
1,7,4,-0.01527853113717257
1,7,5,0.008875213390281177
1,7,6,-0.01625730747690894
1,7,7,-0.009842555081189332
1,7,8,0.01982665855053075
1,7,9,-0.010513057969042288
1,7,10,-0.019816309399807143
1,8,1,0.03189523432501791
1,8,2,0.0067740291884023415
1,8,3,-0.014015199156550959
1,8,4,-0.018372616760004696
1,8,5,0.007082172194756359
1,8,6,-0.018928128495521356
1,8,7,0.0011474345624479475
1,8,8,-0.02019510395046481
1,8,9,-0.013817731315467267
1,8,10,0.02398675822753611
1,9,1,-0.015904186474841188
1,9,2,0.005728884209083395
1,9,3,-0.015832215592073887
1,9,4,0.023661346831446727
1,9,5,0.006123358882270738
1,9,6,-0.020242217153947827
1,9,7,-0.0004021960352071471
1,9,8,-0.021935445493094535
1,9,9,0.005536848408509162
1,9,10,-0.023883242732183976
1,10,1,-0.01592549395355423
1,10,2,0.005718314012071718
1,10,3,-0.015863836252095063
1,10,4,-0.018383970375373714
1,10,5,0.006112019654678683
1,10,6,0.012543251760930818
1,10,7,-0.00042705770619755665
1,10,8,0.014945090942096407
1,10,9,0.0055203098291896
1,10,10,0.02482263816151249
1,11,1,-0.017294487604433688
1,11,2,0.004916101992146017
1,11,3,0.02591765535192167
1,11,4,-0.0197234821753051
1,11,5,0.005382016990517078
1,11,6,-0.018829145236471605
1,11,7,-0.001269509083015759
1,11,8,0.012939352503678142
1,11,9,0.004728250721127784
1,11,10,0.019551994290352172
1,12,1,0.034329452925309666
1,12,2,-0.008936004630068193
1,12,3,0.03018925995621935
1,12,4,-0.008973981557254065
1,12,5,0.009391676996308102
1,12,6,0.018346871642778553
1,12,7,0.0032905703419694363
1,12,8,0.023707895171301233
1,12,9,0.008968370857063557
1,12,10,0.02539203769011668
1,13,1,0.034709708195405205
1,13,2,-0.008276824031489782
1,13,3,0.0305684498064486
1,13,4,-0.007503032760293655
1,13,5,0.009573113619287324
1,13,6,-0.009057952029296868
1,13,7,-0.00827144647289965
1,13,8,0.021444775701891784
1,13,9,0.009344523165539893
1,13,10,0.03389515558077527
1,14,1,-0.01084941306256304
1,14,2,-0.002501373603270874
1,14,3,0.029687124842802944
1,14,4,-0.008888400954354813
1,14,5,0.008951454911942177
1,14,6,0.021401046902411063
1,14,7,0.00279560824935594
1,14,8,0.021498033581965236
1,14,9,0.008471689475433369
1,14,10,0.03766582226316878
1,15,1,0.034393534956918166
1,15,2,-0.008824732939514829
1,15,3,0.030246184085165776
1,15,4,0.03324501311237823
1,15,5,-0.009784595878982076
1,15,6,-0.0079686075577832
1,15,7,0.0033601363909560485
1,15,8,0.023937658474405012
1,15,9,0.00902576446211667
1,15,10,-0.008285722831531154
1,16,1,-0.010809750887641337
1,16,2,-0.0024675280052715177
1,16,3,0.029715107828017125
1,16,4,0.03035986406849016
1,16,5,0.009049838923637893
1,16,6,0.010881937009094898
1,16,7,0.002851821437646645
1,16,8,0.026375984328469233
1,16,9,0.008497344036605355
1,16,10,0.029419928020766574
1,17,1,-0.010076593079941869
1,17,2,-0.002051677322054982
1,17,3,0.03015113855843616
1,17,4,-0.009651966487125345
1,17,5,0.00947635840501503
1,17,6,0.028921996775411414
1,17,7,-0.009008312704026078
1,17,8,-0.01680985275088984
1,17,9,0.008929172468093242
1,17,10,-0.014584264355026631
1,18,1,0.03441978664616861
1,18,2,-0.008802676556741159
1,18,3,0.030263808285394662
1,18,4,0.032429799260966626
1,18,5,0.00958338295972073
1,18,6,0.024798260492024375
1,18,7,0.003382385133431805
1,18,8,0.027180067743987766
1,18,9,0.009039992668625527
1,18,10,0.03809316281654474
1,19,1,0.044298793684138214
1,19,2,0.008389990614468129
1,19,3,-0.007032125348401536
1,19,4,0.04365428316804976
1,19,5,0.019154557907697434
1,19,6,0.014601145961648994
1,19,7,0.008387092606279544
1,19,8,0.014607298753368136
1,19,9,0.007674452862485222
1,19,10,0.02230613164734808
1,20,1,0.00726552479164119
1,20,2,0.00736975797836174
1,20,3,-0.0074878786301618245
1,20,4,0.043836883967430684
1,20,5,0.010743288412552197
1,20,6,0.03951808125431902
1,20,7,0.007548823433832796
1,20,8,-0.002807711680281854
1,20,9,0.018416211329705976
1,20,10,0.04393820834245097
1,21,1,0.04335750279712114
1,21,2,0.006730800497842944
1,21,3,0.006739332241469279
1,21,4,0.014822575128180934
1,21,5,0.00648425573702595
1,21,6,0.015123470701527678
1,21,7,0.01216456317073262
1,21,8,0.01346896723515377
1,21,9,0.017931205183556814
1,21,10,0.016458662853750534
1,22,1,0.04439455897538164
1,22,2,0.00790691494827691
1,22,3,-0.00694958621726596
1,22,4,0.03410878173775715
1,22,5,0.011245355270451798
1,22,6,0.044852214787270646
1,22,7,0.008499082496560992
1,22,8,0.0034296201640825084
1,22,9,0.007790940286053367
1,22,10,0.04665078735779993
1,23,1,-0.022126276082928595
1,23,2,0.011464206758003234
1,23,3,0.014717893259761776
1,23,4,0.020795159993679358
1,23,5,0.014336336132622906
1,23,6,0.029884459158699028
1,23,7,0.014690483081145851
1,23,8,0.019835749934214063
1,23,9,0.022452862815255437
1,23,10,0.025261378142134853
1,24,1,0.02212762653964473
1,24,2,1.5065153645001644e-6
1,24,3,1.3403448700008259e-5
1,24,4,0.032730482222153294
1,24,5,0.004309587419443256
1,24,6,0.035285709969497606
1,24,7,0.021888125226548504
1,24,8,0.02891477581363919
1,24,9,0.021219505824308794
1,24,10,0.03394618681932802
2,1,1,-0.4670873921340967
2,1,2,0.13139983463546392
2,1,3,-0.4669896855983312
2,1,4,-0.18729062077720832
2,1,5,-0.22562691442395266
2,1,6,-0.20991661711285906
2,1,7,0.13139994609722352
2,1,8,-0.4604556450594459
2,1,9,-0.46716668978780335
2,1,10,-0.4539054434971374
2,2,1,0.027437575520825708
2,2,2,-0.14603099076151313
2,2,3,0.016615771806701207
2,2,4,-0.016760381598803886
2,2,5,-0.041972206242084587
2,2,6,-0.03996997513127423
2,2,7,-0.003790876521347908
2,2,8,0.03303487673892397
2,2,9,0.34393863615566844
2,2,10,0.01176964274054959
2,3,1,-0.13167586059690373
2,3,2,0.11858215200512975
2,3,3,-0.13164407606041795
2,3,4,-0.12037042154523703
2,3,5,-0.034166179327433155
2,3,6,-0.02916636887720997
2,3,7,0.0037904798337340677
2,3,8,0.044032975568278454
2,3,9,-0.13180614915388827
2,3,10,-0.11243079525495214
2,4,1,-0.08061436346320616
2,4,2,0.01583790079158201
2,4,3,0.053472571396914526
2,4,4,0.03671206712624275
2,4,5,-0.005103609949207888
2,4,6,0.011275685062694107
2,4,7,-0.08144326720713406
2,4,8,0.029328506809499888
2,4,9,-0.08078626552345841
2,4,10,0.049095120021023675
2,5,1,0.060096008073759144
2,5,2,0.011610716449002311
2,5,3,0.04924483052984585
2,5,4,0.025318414665750966
2,5,5,-0.009288542160000413
2,5,6,-0.004284275844190222
2,5,7,-0.08887536337005415
2,5,8,0.02253292005720864
2,5,9,-0.00931329136119341
2,5,10,-0.07059968941969996
2,6,1,-0.035636926734817886
2,6,2,-0.036608483885217355
2,6,3,0.07898473335685463
2,6,4,-0.02826110845335167
2,6,5,0.020769671565664005
2,6,6,0.043126972289993626
2,6,7,0.0019404038283685476
2,6,8,-0.028333922264353495
2,6,9,0.02039193676546075
2,6,10,-0.02371510652619313
2,7,1,0.09480152074245396
2,7,2,-0.02702043431870254
2,7,3,-0.026115206611508013
2,7,4,-0.01977785156510342
2,7,5,0.026147653028266216
2,7,6,-0.01759175887387132
2,7,7,-0.026989296770214333
2,7,8,0.05717298924957687
2,7,9,-0.02630495098786878
2,7,10,-0.014480514162300229
2,8,1,0.089618378667504
2,8,2,0.01862809686808479
2,8,3,-0.03523755213698965
2,8,4,-0.02911957388866193
2,8,5,0.020998592866023014
2,8,6,-0.027323594855535094
2,8,7,0.0021598575325127434
2,8,8,-0.02841959026772506
