codes,1,3
hours,bus114,bus60
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.003249,0.003246
1/2017,0.115693,0.115693
1/2017,0.305741,0.305741
1/2017,0.467855,0.467855
1/2017,0.600509,0.600509
1/2017,0.669646,0.669646
1/2017,0.697812,0.697812
1/2017,0.683254,0.683254
1/2017,0.606118,0.606118
1/2017,0.499092,0.499092
1/2017,0.343416,0.343416
1/2017,0.146052,0.146052
1/2017,0.011222,0.011224
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.004156,0.004152
1/2017,0.132794,0.132794
1/2017,0.318046,0.318046
1/2017,0.468751,0.468751
1/2017,0.560137,0.560137
1/2017,0.664582,0.664582
1/2017,0.695417,0.695417
1/2017,0.678615,0.678615
1/2017,0.602539,0.602539
1/2017,0.486057,0.486057
1/2017,0.347692,0.347692
1/2017,0.161919,0.161919
1/2017,0.012755,0.012758
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.001889,0.001888
1/2017,0.082651,0.082651
1/2017,0.214962,0.214962
1/2017,0.342312,0.342312
1/2017,0.409006,0.409006
1/2017,0.437035,0.437035
1/2017,0.397001,0.397001
1/2017,0.351686,0.351686
1/2017,0.328658,0.328658
1/2017,0.269382,0.269382
1/2017,0.169428,0.169428
1/2017,0.073289,0.073289
1/2017,0.003760,0.003760
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
1/2017,0.000000,0.000000
